Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI
Locke	25	6.24	2.52	23	2.43	2.74	21	8.62	2.36	5	3	9345	an	P	197	99.951380834314	Leibniz	NN	13	99.8275556829087	Ben	NE	165	980.435794626511	schwarz	ADJ	42	98.188822999053	wohl	ADV	28	9.57204224815743	ohne	P	33	9.31001013740831	zeigen	V	22	9.04320779504805	Flashback	NN	14	89.415711402207	Sarg	NN	17	83.4550488662573	braun	ADJ	23	81.5032347512532
Unbehagen	26	2.08	2.24	29	5.55	2.64	21	5.33	2.46	9	2	25825	emotional	ADJ	36	96.9366321382335	Unbehagen	NN	20	94.799087734322	artikuliert	ADJ	15	94.4612286607837	tiefsitzend	ADJ	15	93.7537466341473	verfolgen	V	42	92.7163788364382	formulieren	V	34	92.7147893571055	Furcht	NN	25	91.7757659916869	sozial	ADJ	24	9.92829814603815	ich	NE	10	9.72842501868669	gleich	ADJ	28	9.72315407987545
Meinung	20	6.70	2.05	24	5.58	2.57	18	5.44	3.29	7	4	2294776	Äußerung	NN	628	998.610683584014	nämlich	ADV	1978	992.783758002572	abwegig	ADJ	74	99.7116539406235	unwesentlich	ADJ	87	99.6313355240528	ernst	NN	84	99.5889545833136	übereinstimmen	V	389	988.670569596865	befragen	V	533	982.776963431283	gegenteilig	ADJ	2154	9813.73369345996	bzgl.	NE	39	98.9570484042146	abschätzig	ADJ	40	98.4306717191919
Mönch	31	5.19	1.78	34	1.88	2.01	21	8.86	1.56	5	3	132301	kennen	V	171	99.4210762537197	verblieben	ADJ	39	98.8979600216106	Prediger	NN	31	98.5360272037685	Berg	NN	71	98.4737165358294	erklären	V	137	98.1966798615767	indisch	ADJ	270	979.321995244126	Einsiedler	NN	161	972.696035412189	Zisterzienser-Orden	NN	12	97.8218954270403	China	NE	84	97.7763613598612	enthaltsam	ADJ	18	97.6510057911264
Bildung	33	7.39	2.00	20	4.80	3.02	25	4.40	2.68	7	4	704678	Armut	NN	459	998.660975754481	Förderung	NN	3255	9949.63785899507	gering	ADJ	1106	992.190728333509	Wasserstoffperoxid	NN	31	99.9465432873219	Gehörloser	NN	22	99.6190958602828	Initiativkreis	NN	31	99.4495386538594	Orientierungsrahmen	NN	28	99.3604019278729	Kohlensäure	NN	43	99.2997618882991	Weiterentwicklung	NN	116	99.1720939772949	Kollagen	NN	20	99.1405916513675
Brille	25	4.64	1.96	27	1.59	2.19	17	9.35	1.17	6	3	149283	MIT	P	35	99.8400237409043	Metallgestell	NN	17	99.726245003766	vorher	ADV	138	99.6265001284542	Gürtel	NN	38	99.585080507529	Lebensjahr	NN	56	99.2988628736642	rosa	ADJ	1494	9855.43085134522	gerahmt	ADJ	22	98.9635354672528	unauffällig	ADJ	42	98.4194894037268	Brillengestell	NN	18	97.5588010486422	passend	ADJ	423	962.943000188431
Instabilität	27	2.96	2.85	31	4.97	2.94	14	4.14	2.66	12	2	18402	auftretend	ADJ	28	99.3510755514411	Anzeichen	NN	27	99.082249527943	Zone	NN	29	98.8616060892573	makroökonomisch	ADJ	17	98.6737058195748	sorgen	V	55	98.3335919741441	systemisch	ADJ	24	97.2750359979525	Grad	NN	39	97.2278566913063	Bewegungseinschränkung	NN	14	95.9501233133227	degenerativ	ADJ	17	95.0201230014424	Weimarer	ADJ	23	91.685740936983
Erziehung	23	6.04	1.64	28	4.89	3.08	26	4.27	2.91	9	4	243119	Versorgung	NN	387	999.206293507898	vernachlässigt	ADJ	34	99.6739981909805	Gewohnheit	NN	49	99.359963093534	brauchen	V	779	984.141324168915	versäumen	V	43	98.4569764197991	Entwicklungsförderung	NN	20	98.3314968401957	mehrsprachig	ADJ	203	973.307136293412	auseinandersetzen	V	62	97.8733938185941	Unterrichtsprinzip	NN	18	97.649328856749	Elternsache	NN	13	97.2055347647909
Einzelheit	36	5.11	1.85	33	2.91	2.38	27	2.93	3.16	10	1	118912	Tatvorwurf	NN	20	99.6097538767754	Bericht	NN	102	99.5097676751025	schrecklich	ADJ	55	99.1794000086675	Vorgang	NN	59	98.5359688378749	weitergehend	ADJ	38	97.7501985065295	kümmern	V	65	97.5539397974973	verzichten	V	80	97.368861907023	Bestattung	NN	29	97.1186106998137	bezüglich	P	321	961.735435619528	kennen	V	544	955.363586197501
Morgen	17	7.24	1.82	18	4.56	3.28	17	7.29	2.49	6	4	507709	feiern	V	622	991.89772569909	Lacher	NE	32	99.9242275553413	Tageszeitung	NN	68	99.7977300875661	denken	V	482	99.7736543244041	quälen	V	60	99.6604386363287	7.	ADJ	473	989.156886723569	ausschlafen	V	232	982.866991474829	vergehen	V	93	98.7420044184069	süß	NN	33	98.3774822240049	bereuen	V	52	98.2157537418734
Saison	20	6.15	1.95	24	3.50	2.77	16	5.00	2.76	6	1	932983	verlängern	V	483	991.765604288585	holprig	ADJ	53	99.5870796403281	nahen	V	51	99.5792316563349	Begin	NN	25	99.4659305619033	Radsport	NN	47	99.3630774244773	beeindruckend	ADJ	169	99.2776237212654	2004er	ADJ	27	99.1893229443815	dürfen	V	1752	99.0534912226483	zweimal	ADV	596	984.010734986804	vorletzt	V	191	983.552573416768
Abend	23	7.17	1.97	16	4.06	3.97	24	7.33	2.87	5	4	1228951	begrüßen	V	699	999.39453066946	heuen	ADJ	71	99.910080915896	trocken	ADJ	277	99.3993704355994	adventlich	ADJ	36	99.1794311937693	vorüber	ADV	74	99.0355010245933	26.	ADJ	553	985.741168264592	kommen	V	12775	9847.30074560555	Reformationstag	NN	31	98.7527508813756	Bundestagswahl	NN	85	98.6873035719835	begrüßt	V	43	98.5333913557271
Bücherei	23	7.87	1.91	23	3.48	2.29	28	8.36	2.54	8	3	41551	Wiener	ADJ	37	97.8994454245996	eigen	ADJ	164	97.5861838620776	Buchhandlung	NN	173	963.490066511686	alt	ADJ	158	96.4719141920428	bestellen	V	55	95.4797528699409	örtlich	ADJ	237	947.195586642153	Bürgerhaus	NN	24	94.6635919677143	Leseecke	NN	15	94.2867819843465	Landkreis	NN	44	94.1183807354813	vorlesen	V	26	94.0968734140916
Pute	30	5.57	1.61	34	1.82	2.29	27	8.37	2.84	4	3	10646	Pferd	NN	38	99.2222721290443	dumm	ADJ	194	953.161492547601	Rotkohl	NN	13	93.9985815808452	Schweinefleisch	NN	17	93.93636219332	Reis	NN	147	901.46895944934	Tag	NN	33	9.69405067021049	ca.	ADV	16	9.6057066734298	Wild	NN	19	88.013229577442	aus	P	168	85.9326786138838	Pfau	NN	13	85.3921728519189
Vermerk	30	4.87	1.38	25	2.36	2.46	25	5.44	2.65	7	1	29462	Sendebericht	NN	13	99.7700607737198	&quot;	V	62	99.5129052630275	beigefügt	ADJ	22	99.3368848683122	Polizeibeamte	NN	25	98.8468078392505	positiv	ADJ	64	96.7155359601322	bahnamtlich	ADJ	11	96.5869564138448	Schwerbehindertenausweis	NN	16	95.1713043331665	in	P	2151	940.074433531494	eingetragen	ADJ	27	93.8454679760501	Notiz	NN	26	93.812900973769
Anerkennung	25	8.32	2.59	23	5.65	2.25	24	5.58	2.72	11	4	322391	Kurde	NN	38	99.730649543238	Staatlichkeit	NN	28	99.6430079738161	Eigenständigkeit	NN	39	99.6348890222448	Rechtsverpflichtung	NN	15	99.5546718191367	vereinfacht	ADJ	44	99.4504792053798	Zivildienststelle	NN	20	99.3703373678443	Ausgleichstreffer	NN	28	99.1103881748917	Foulspiel	NN	33	99.1075495851909	Zusatzbezeichnung	NN	25	99.0280146998942	Hochachtung	NN	206	986.747848772202
Klärung	27	4.63	2.91	20	4.15	2.87	23	3.48	2.84	7	1	83741	Verdacht	NN	47	99.7854549415224	führen	V	185	99.7290192338553	Versicherungsfrage	NN	17	99.280561160489	strittig	ADJ	185	985.968648738287	Eignung	NN	33	98.5192255408911	Erörterung	NN	28	98.2927521992686	gemeinschaftsrechtlich	ADJ	19	98.0756027290966	Eignungszweifel	NN	113	979.851989825004	eingehend	ADJ	41	97.8072005472527	zivilrechtlich	ADJ	28	97.0435090104933
Versäumnis	24	2.83	2.51	24	6.50	2.19	21	4.43	3.16	10	2	23116	Eingeständnis	NN	18	98.328963382781	vorhalten	V	23	96.9034971584682	vertuschen	V	19	96.2045095366917	für	P	1237	957.068023425623	ablenken	V	172	952.307956669816	Irrtum	NN	26	95.6690026231804	Vorgängerregierung	NN	15	94.9061465987431	Versagen	NN	23	93.1363483497918	Liste	NN	42	92.4199324666085	Staat	NN	56	92.2435973871393
