Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI
Kunstwerk	37	7.19	2.00	24	5.08	2.57	20	5.95	3.49	9	4	141342	gestalten	V	418	999.644686019981	Sinn	NN	162	99.8922327109342	Monument	NN	30	99.8060340564759	imposant	ADJ	41	99.4338617702382	hölzern	ADJ	37	99.4296406129834	unvollendet	ADJ	26	99.3551454355769	ausgewählt	ADJ	329	985.633797691302	bewohnbar	ADJ	25	98.8521684928767	erstehen	V	35	98.5402295790846	Motiv	NN	70	98.3577224014897
Entwertung	24	3.96	2.80	23	3.26	2.72	24	4.50	2.70	10	1	8271	verbunden	ADJ	27	94.9336471896885	Arbeitskraft	NN	22	92.4880721148328	zunehmend	ADJ	35	92.2498898419639	Vernichtung	NN	20	92.2205438836924	erfahren	V	36	90.7772678370204	also	ADV	34	9.5721762425895	deutsch	ADJ	27	9.56629439673992	Grund	NN	14	9.48455813815729	Produkt	NN	11	9.42655172107816	Lebensleistung	NN	13	89.8240025314736
Ursprung	33	6.55	1.72	27	3.00	2.35	22	3.00	3.02	8	1	215614	verdanken	V	278	999.915813144408	vorwiegend	ADJ	63	99.3247181372048	Geschlecht	NN	67	99.1979501508382	jüdisch	ADJ	397	986.571669683665	viral	ADJ	32	98.7629689814782	Waschsubstanz	NN	15	98.5422638107355	Mythologie	NN	36	98.4891158948034	Material	NN	130	98.0938832942155	fernöstlich	ADJ	30	97.9357679215601	höchstwahrscheinlich	ADJ	38	97.3954604190525
Samen	23	6.13	2.12	24	4.75	3.31	22	7.95	1.50	5	4
Loyalität	23	7.91	2.43	24	4.92	2.50	24	3.17	2.76	9	4	30376	absolut	ADJ	326	997.751947049452	Zeichen	NN	49	99.7910081970774	Professionalität	NN	23	99.3806587611674	Redlichkeit	NN	17	98.7629143170548	Vertrauen	V	21	98.2366322526905	Untergebener	NN	18	97.3700550369608	Rücksichtnahme	NN	21	97.0637045759973	Liebe	NN	292	943.948030093387	Stolz	NN	27	93.4176732173307	Untertan	NN	21	93.342006850312
Näherung	17	5.18	1.24	26	4.00	3.26	23	3.65	2.98	8	1	6397	lokal	ADJ	32	98.2896851428619	gelten	V	52	95.0921491177279	mit	P	326	93.4094823509475	vernachlässigen	V	21	93.2363843670605	Wert	NN	10	9.9438253866938	harmonisch	ADJ	22	87.6749496923686	bestimmen	V	32	87.6129036015753	parabolisch	ADJ	11	86.3321698508505	als	P	471	818.044236079782	einfach	ADJ	46	81.7632765857119
Aufteilung	22	5.55	2.24	21	2.57	2.23	17	4.35	3.00	10	1	64984	einzeln	ADJ	449	988.061672659921	Einkunft	NN	33	96.3522576440906	in	P	9060	9503.78664679593	pauschal	ADJ	37	94.8948158893573	Diele	NN	22	94.299502026918	Schülerin	NN	55	94.0877249174707	angemessen	ADJ	51	93.8973970502255	gewählt	ADJ	43	93.2932952804836	Text	NN	86	92.8711009294152	sektoral	ADJ	18	92.5841653535953
Verteidigung	24	5.33	2.12	28	6.25	3.27	23	5.13	2.53	12	4	157441	Aggression	NN	40	99.3371648522631	amtlich	ADJ	270	989.581533406159	stark	ADJ	799	988.74867422449	Bereich	NN	673	988.19265372282	Bundeswehr	NN	55	98.7793922199644	Einwand	NN	42	98.3560794407934	Erreichte	ADJ	20	98.334044663732	vorliegen	V	68	98.1469391040495	gewaltfrei	ADJ	33	98.0130318049019	Versuch	NN	91	97.9435640996632
Schornsteinfeger	29	6.07	2.09	23	2.57	2.57	24	9.25	2.13	16	3	13055	Gebietsmonopol	NN	11	99.6108463958524	örtlich	ADJ	31	98.7002782242059	krebskrank	ADJ	17	98.0906300297399	durch	P	520	959.295258805487	Heizungsinstallateur	NN	11	92.3574662417961	Müllabfuhr	NN	15	92.2669001930968	Versicherung	NN	30	91.0011398487285	Ofenbauer	NN	12	90.8554543064249	Kunde	NN	15	9.7300843428042	verkaufen	V	10	9.70453393291324
Urlauber	26	6.58	2.27	24	2.96	3.07	23	8.70	1.64	8	3	91929	Resident	NN	139	991.360083450827	ganz	ADJ	250	99.9056749308502	ideal	NN	31	99.151283543936	Mallorca	NE	233	985.617570767215	Österreich	NE	77	98.3982615603662	zahlen	V	84	98.1455348832923	abseits	ADV	25	97.5182843250135	Ferienort	NN	24	97.4953823137985	Gelegenheit	NN	75	97.1057254882815	mieten	NN	24	96.9756230667331
Verb	21	5.71	1.90	14	0.50	0.65	26	5.38	3.78	4	1	38718	Ergänzung	NN	36	98.5191593352884	trennbar	ADJ	120	979.080608784505	aussagearm	ADJ	10	97.829405607048	Präfix	NN	17	95.1364391393145	Tempusform	NN	11	94.9554511079257	VDE	ADJ	13	94.4835515022608	Personalpronomen	NN	14	94.0817079150821	drücken	V	47	93.4458331394827	bilden	V	307	928.424996658236	folgend	ADJ	73	90.4717342723529
Lied	32	7.53	2.31	22	5.00	2.58	29	7.34	2.97	4	4	716152	Rhythmus	NN	387	999.45064142586	Videoclip	NN	44	99.9590218992348	rührend	ADJ	45	99.9385213389561	durchsingen	V	18	99.923496568649	hoffnungsvoll	ADJ	52	99.7362201715653	ukrainisch	ADJ	61	99.7348088287771	solo	ADV	44	99.4697524739305	dudeln	V	28	99.2441181597644	Pippo	NN	14	99.2009233443983	stimmig	ADJ	69	99.1920106997786
Einwand	25	5.04	2.09	35	4.09	2.43	23	5.30	3.67	7	1	96380	Klägerin	NN	271	996.094717905827	Seite	NN	220	99.7075792636611	beruhen	V	52	99.5388484968819	ohne	P	782	989.678798771052	anbringen	V	47	98.5177934327123	Verteidigung	NN	42	98.3560794407934	folgen	V	107	97.8887278640372	Anmerkung	NN	45	97.850227377052	klug	ADJ	45	97.8142229547866	Gegner	NN	82	95.9651916389457
Ebbe	30	4.83	1.72	23	2.78	2.47	22	7.55	2.46	4	3	18716	Einsetzen	V	20	96.7987675541014	gerade	ADV	385	933.03945608213	Vollmond	NN	19	93.7557659289267	schwimmen	V	29	93.4619175662297	folgen	V	56	92.8925794662551	kommen	V	180	90.4964014972296	laden	V	12	9.64230819985338	Moment	NN	15	9.46323885381123	Zeitpunkt	NN	12	9.23734447892816	liegen	V	106	88.7105110534123
Mörderin	22	2.09	2.81	27	6.96	2.94	26	7.19	2.40	8	2	5032	Diebin	NN	12	97.9236000683532	überführen	V	18	96.627038744945	gesucht	ADJ	18	94.5442625217478	beschimpfen	V	17	94.2472030099089	psychopathisch	ADJ	12	91.3243251282918	Gefängnis	NN	19	83.183748793207	bezeichnen	V	27	80.3982607509748	tun	V	11	8.6065970802716	um	P	30	8.57530902408599	gar	ADV	12	8.51054162318059
Gewehr	27	2.41	2.36	21	5.62	3.04	27	9.11	2.03	6	2	55257	nachladen	V	21	99.7604780190772	scharf	ADJ	53	99.5219508383043	Fadenkreuz	NN	20	99.0157833217426	Seitengewehr	NN	15	98.5337400068267	Sturmgewehr	NN	19	98.18928776578	rauchend	ADJ	23	97.9811352480014	strecken	V	31	97.6007959672832	Erika	NE	27	97.4430562115697	Speer	NN	25	97.4372008473173	Axt	NN	25	97.3722532499309
Trompete	26	5.54	2.53	22	4.09	3.34	28	9.25	1.97	8	3	22240	auf	P	1126	998.199412025154	Mundstück	NN	17	99.7826975518353	Musik	NN	59	98.430763939606	singen	V	39	98.2060937173134	neben	P	72	97.9921101397445	Violoncello	NE	16	97.3468629152816	Bratsche	NN	15	96.4150937202141	gestopft	ADJ	102	919.59365808043	E-Bass	NN	14	91.8231147399308	anfangen	V	44	91.1157217459187
Direktor	26	4.58	2.04	35	3.29	2.28	16	6.81	2.66	8	3	181977	Informatikdienst	NN	17	99.9988732289272	Staatssekretariat	NN	22	99.1293012422385	Zentralschweizerische	ADJ	13	98.7029978612643	Landes-Rechnungshof	NN	13	98.6511015847603	Leibniz-Zentrum	NN	16	98.6224495265746	Deutsch-Französische	ADJ	25	98.5505341102872	Musikhochschule	NN	31	98.4572434676796	historisch	ADJ	130	98.4550877929156	Bereitschaftspolizei	NN	22	98.270280834981	Antikensammlung	NN	18	98.1831280604903
Bewältigung	28	6.39	2.47	27	4.37	2.17	21	4.14	2.76	11	4	66575	Hilfe	NN	448	995.993158817031	Trauerarbeit	NN	19	99.9088388923058	Klimakrise	NN	16	99.4574796498664	Weltwirtschaftskrise	NN	24	99.235535361802	sozial	ADJ	438	986.390395340692	alterstypisch	ADJ	15	97.4082259322526	Verhütung	NN	26	97.2938782972047	Deutung	NN	31	95.0605847714197	Einsatz	NN	96	94.6559403637214	heutig	ADJ	87	94.4828508041106
Molekül	25	5.60	2.35	28	1.61	1.81	23	5.78	3.69	7	1	62139	CD	NN	56	98.0277700418172	bestehend	ADJ	73	97.9837022636564	Stickstoffmonoxid	NN	16	97.1284451518761	Fettsäure	NN	29	96.9357430724654	diffundierend	ADJ	13	96.5022069685554	Atomkern	NN	21	96.4670773763367	verhalten	V	45	95.3599186913515	Zahl	NN	86	95.2926831635676	lebenswichtig	ADJ	27	94.9925715775701	lebend	ADJ	52	94.6103575137376
Aktion	22	6.77	1.27	22	5.77	3.07	20	4.70	2.96	6	4	1045385	Idee	NN	1356	997.0376952742	Information	NN	1707	996.925656103947	Leselust	NN	28	99.9284462085444	beschränken	V	178	99.894509965081	zivilgesellschaftlich	ADJ	58	99.8452056969823	Hauruck	ADJ	16	99.6779317713265	Double	ADJ	28	99.446506599873	3.	ADJ	390	99.2233643806482	Top	NE	102	99.1818341978274	human	NE	32	99.1450561905332
Netz	25	5.20	1.58	23	2.91	2.33	16	8.44	2.73	4	3	823729	schaufeln	V	40	99.956667985268	Versicherungsseite	NN	17	99.8359442991324	Preisvergleich	NN	54	99.7761481026644	Ressource	NN	151	99.6307418546118	Korrespondent	NN	42	99.627343109257	Auswerfen	NN	23	99.4863054615753	angehen	V	208	99.4226929143069	inklusive	ADV	55	99.0757464360214	AG	NN	3349	9880.24875362168	Filmchen	NN	41	98.8249215391834
Dreck	29	3.41	2.35	26	3.50	2.52	15	6.80	3.49	5	2	103183	drum	ADV	232	989.583036263762	nass	ADJ	47	98.6818499193677	n	ADJ	668	978.804912787874	reinziehen	V	26	97.7989982320587	Bakterium	NN	44	97.2985770192309	fegen	V	29	97.215642062397	mitten	ADV	63	96.7234832416237	gleich	ADJ	150	96.586027170768	braun	ADJ	259	954.907474008043	in	P	11279	9509.50756769704
Verwertung	23	4.17	2.04	23	3.17	2.77	24	3.92	3.09	10	1	58350	konsequent	ADJ	53	99.7932572056301	ökonomisch	ADJ	267	985.905601106607	für	P	2362	985.112923615294	Nebenprodukt	NN	23	98.8672466084731	Einwilligung	NN	30	98.7387189781327	aufgenommen	ADJ	32	98.5999697478426	Tonaufnahme	NN	20	98.3172063736319	ermöglichen	V	77	98.1204448240601	mineralisch	ADJ	176	977.510450996211	Immobilie	NN	243	974.704755371538
Energie	34	7.59	2.05	29	6.90	2.38	19	4.21	3.34	7	4	1192014	Produktion	NN	822	999.665426921989	Haushalt	NN	718	990.573029269314	Modernisierungsratgeber	NN	16	99.9019507584781	Gigajoule	NN	18	99.5275916521402	Paradigma	NN	59	99.466463198427	akustisch	ADJ	122	99.4410355969236	herausholen	V	70	99.3678611503955	freiwerden	V	21	99.3646661289594	Monitoring-Bericht	NN	20	99.3455295708283	verlorengehen	V	36	99.3278968082888
Zumutung	24	2.75	2.44	27	5.56	3.13	24	4.29	2.90	8	2	27372	auffassen	V	24	98.0752769728061	bezeichnen	V	50	97.6427289135856	betrachten	V	46	97.3291417150145	politisch	ADJ	70	96.9410417173473	derartig	ADJ	39	96.5544227984854	über	P	247	95.0838473023209	bürokratisch	ADJ	23	94.2905303828629	Demokratie	NN	37	94.1291991112584	absolut	ADJ	291	935.011919688391	hinnehmbar	ADJ	17	91.0665153320415
Unterstützung	24	7.33	2.26	29	4.17	2.96	23	5.48	2.64	13	4	1117651	Implementierung	NN	80	99.9389922226649	Senior	NN	152	99.8742344602271	UMTS	NE	60	99.8226970615897	unschätzbar	ADJ	54	99.7752292481561	Waisenkind	NN	41	99.7356373913403	Hauptamtliche	NN	35	99.6602490044516	Standard	NN	258	99.5440455669154	ideologisch	ADJ	108	99.4593192796372	unerschütterlich	ADJ	49	99.1916357337651	grandios	ADJ	127	99.1848350094372
Kenner	39	6.77	2.23	23	3.52	2.35	8	3.63	1.41	6	1	59544	ausgewiesen	ADJ	1418	9793.57369392187	Serie	NN	317	977.411515694861	Robert	NE	53	97.421718928622	Kunstliebhaber	NN	18	97.1956544821941	herausragend	ADJ	42	96.8938642475692	Eingeweihte	NN	21	96.114554580991	menschlich	ADJ	72	95.289377936327	indisch	ADJ	40	95.2018552354681	selbst	ADV	631	942.743563049348	eingeweiht	ADJ	20	93.8317295139002
Gepäck	28	4.96	1.50	24	3.25	2.56	15	8.93	1.10	6	3	139731	deponieren	V	179	995.701166463282	restlich	ADJ	307	995.063401093582	müssen	V	1399	982.121254550107	abgeben	V	344	975.914018104662	voll	P	84	97.7562171661261	minimal	ADJ	56	97.6698614754168	noch	ADV	1724	97.4479899440754	verstauen	V	1432	9625.51339876188	kg	ADJ	244	961.327434121642	Radwandern	NN	18	96.7933524940753
Hoffnung	16	7.50	2.63	26	6.19	2.79	27	4.56	3.03	8	4	718330	unausgesprochen	ADJ	37	99.5767323982111	verheißend	ADJ	23	99.0862838002505	Illusion	NN	335	987.132381158077	versprühen	V	42	98.691837121812	sinnlos	ADJ	101	98.3064395523428	klammern	V	249	977.120908248762	paradox	ADJ	47	97.9580727808489	Restfunke	NN	14	97.8782743014867	getragen	ADJ	57	97.371749383547	nahen	V	44	97.1495968384702
Versorgung	32	6.03	2.24	19	3.74	2.47	17	4.12	2.03	10	1	350369	gesamt	ADJ	798	999.890074055856	Erziehung	NN	387	999.206293507898	langfristig	ADJ	489	993.053585847989	Soziale	ADJ	35	99.7186958890076	Sportverletzung	NN	26	99.7076569935054	hörgeschädigt	ADJ	28	99.0019833398914	effizient	ADJ	425	987.363361915116	Verwundete	NN	203	980.52395920142	komplementär	ADJ	37	98.9573478460604	Nahwärme	NN	19	98.6119067926288
Eigentum	30	6.53	2.52	26	4.08	2.28	22	6.91	2.16	8	4	198322	Vertragspartner	NN	40	99.6239715323593	Vollrecht	NN	14	99.4657862252672	unvermessen	ADJ	14	98.9331132783418	Diebstahl	ADJ	15	98.6232874113861	eigen	ADJ	538	97.9767974987626	Ersitzung	NN	15	97.8014682810531	verwandeln	V	68	97.5498850112184	Fürst	NN	51	97.3636957208282	verpfänden	V	24	96.765110452151	Kaufgegenstand	NN	21	96.7172161510556
Erzeugnis	32	5.84	2.03	20	2.05	2.14	20	5.25	2.88	9	1	55574	Eigenschaft	NN	58	99.2255812601881	Lichtbild	NN	23	99.062947801542	fertig	NN	18	98.9395925098172	hiesig	ADJ	37	98.4924884425301	gewährleisten	V	50	98.3991086971483	kinematographisch	ADJ	15	98.0524556317878	Stoff	NN	290	973.027191090393	höherwertig	ADJ	24	97.5860478838094	Gestalt|Gestalten	NN	32	96.8694789971678	Import	NN	32	96.5608319632109
Wandlung	32	5.53	2.30	16	4.25	2.05	23	3.96	2.85	8	1	44147	unerwartet	ADJ	36	99.3552852134263	begriffen	ADJ	19	98.4026758800049	Gabe	NN	32	96.509038202864	beständig	ADJ	29	93.2038129738753	Veränderung	NN	285	925.948966197839	Imperialismus	NN	22	92.9384350529932	überraschend	ADJ	42	92.4712206247572	rasch	ADJ	43	91.8962071780076	Zuschauerverhalten	NN	11	91.1894544337175	durch	P	835	900.696486152656
Zustand	31	4.65	1.28	20	2.05	2.28	24	3.33	3.05	7	1	819290	rechtmäßig	ADJ	314	995.445218676963	Lebensalter	NN	277	995.310231689014	beseitigen	V	466	993.759158379508	Gelenk	NN	86	99.9901663244238	abgeben	V	212	99.9692393773701	signalisieren	V	72	99.8938840703507	Guantanamo	NE	39	99.7912115090218	Ausgebranntsein	NN	20	99.7399977572892	manisch-depressiv	ADJ	27	99.6895812531879	zähflüssig	ADJ	33	99.615849506154
Glatze	28	3.00	2.02	22	2.55	2.52	34	9.44	0.99	6	3	16997	spiegelblank	ADJ	12	99.9316457024133	statt	P	42	98.6507056371381	Skinhead	NN	17	98.1320569986308	Perücke	NN	18	97.316487535876	männlich	ADJ	34	97.0661917822223	Neonazi	NN	23	95.871403533372	streicheln	V	22	93.6467422727611	gegen	P	109	93.0045509263191	kahl	ADJ	20	92.7871091763346	stehen	V	116	92.2987631644507
Epoche	19	5.84	1.98	31	2.61	2.32	22	5.41	3.19	6	1	128389	reich	ADJ	74	99.8586099316344	Liberalismus	NN	28	99.2837328468789	Rokoko	NN	20	99.130451016613	kommunistisch	ADJ	47	99.0283471667445	wilhelminisch	ADJ	147	981.197713063603	interessant	ADJ	160	98.428850280627	Chronist	NN	26	98.1848247815138	schillernd	ADJ	31	97.3707290595115	versetzen	V	56	96.9602072218176	Ausführung	NN	69	96.8389623303268
Feder	24	7.08	2.19	19	2.84	2.34	12	9.50	1.45	5	3	89668	Tom	NE	47	99.4507883530096	Doppelnut	NN	11	99.2986905776208	stramm	ADJ	29	99.0795152188774	&quot;	NN	542	99.0327122355207	Kraft	NN	108	99.0162070894029	aus	P	28349	98399.2460372309	Chorleiter	NN	25	96.9096006789584	streicheln	V	33	96.7955922503888	Skalpell	NN	21	96.4399062651194	lesen	V	145	95.7787586126284
Revolution	32	5.31	2.01	23	6.57	2.92	23	5.48	2.63	10	4	271626	syrisch	ADJ	243	991.778363771401	Auslöser	NN	52	99.9207207542836	Lyrik	NN	43	99.7295174698049	drohend	ADJ	56	99.6276710753061	Pariser	ADJ	47	99.5089020662607	napoleonisch	ADJ	30	98.6854913407379	schlechthin	ADV	45	98.5702923715587	algorithmisch	ADJ	24	98.2664303961672	Kraft	NN	203	98.2514487597379	notwendig	ADJ	194	97.9023643407127
Strick	15	3.00	1.65	18	5.28	3.20	28	8.32	2.18	6	2	27658	gedreht	ADJ	21	99.5027110348955	Jacke	NN	27	95.2895798403971	verkaufen	V	50	95.2712958513526	umlegen	V	21	93.775788183915	gleich	ADJ	327	918.808074139192	rechtlich	ADJ	11	9.78637803722317	ich	NE	10	9.776419625728	vorne	ADV	13	9.76602339874623	warm	ADJ	13	9.61621751950941	warten	V	18	9.57141460607051
Patent	25	5.96	2.19	33	2.21	1.92	25	5.16	2.91	6	1	85594	besitzen	V	372	990.912320392419	Anmeldetag	NN	16	99.6026242811372	Office	NE	36	99.2918845961684	Musterschutz	NN	12	99.0128413374921	bereits	ADV	709	982.228390946035	softwarebezogen	ADJ	12	96.0027432987235	Patentamt	NN	154	953.810161403882	beschrieben	ADJ	49	95.5670157503833	z.B.	NN	133	95.3825515560354	lizenzieren	V	21	94.9995608060371
Adresse	27	5.70	1.66	35	1.11	1.62	24	6.92	3.59	7	3	509242	Mail	ADJ	198	998.829234471498	ungültig	ADJ	282	994.52068768456	mitsamt	P	53	99.3915281276275	Visitenkarte	NN	50	99.0322937101051	über	P	4537	982.028947057141	vogelkundig	ADJ	25	98.7062308949242	benutzt	ADJ	52	98.4707683659725	genügen	V	102	98.3612598786312	Fachakademie	NN	25	98.3216682972131	kriegen	V	143	98.1835052003126
Hahn	22	5.45	1.74	28	1.93	1.76	17	8.88	1.58	4	3	75902	Mühlenwerk	NN	12	98.7100972435167	Asklepios	NN	16	97.6307396513054	eitel	ADJ	25	97.3422923836283	Lieblingshenne	NN	11	97.2612032852153	zahm	ADJ	24	95.7420195623024	Wickelkamm	NN	10	95.2314618107788	Flughafen	NN	276	933.303547443564	Symbol	NN	47	92.8830315176897	zeigen	V	173	92.4133324348625	stolz	ADJ	274	913.827388914445
Vorsicht	21	4.86	1.74	30	6.03	2.87	12	4.00	2.70	8	2	195791	Gebrauch	NN	73	99.8715388060495	Gift	NN	46	99.8050690111392	entsprechend	ADJ	711	988.546166357319	beachten	V	81	98.9462304129966	mahnen	V	1560	9765.83663707886	Scheu	NN	32	97.6317550432284	Verkehrsteilnehmer	NN	37	96.7008599106828	Grundsatz	NN	67	95.7730100678639	heißen	V	213	95.3956550983945	Lese|Lesen	NN	56	95.0983284881971
Abfluss	27	3.59	1.89	26	2.00	2.77	19	7.16	3.27	7	3	22272	jährlich	ADJ	46	99.4710161471899	verzögern	V	25	99.0691964906439	rasch	ADJ	37	98.4408766497307	liquid	ADJ	18	96.2269016608739	Bach	NN	25	96.1653442917052	niedrig	ADJ	46	95.3051450610842	Wasseranschluss	NN	15	95.2070037804695	Regenrinne	NN	15	94.9633416827316	beschleunigt	ADJ	20	94.2515789041953	Becken	NN	31	92.7947624979498
Atmung	29	7.21	1.68	24	4.00	2.83	30	7.07	2.74	6	4	47533	Sauerstoffaufnahme	NN	16	98.0054271837086	ausführen	V	46	97.1315153058653	Vorgang	NN	42	97.1238472711817	spontan	ADJ	43	96.930406010456	Lebewesen	NN	32	96.8239429670595	wirken	V	76	96.7650846634375	erleichtern	V	232	959.565439657775	Stimme	NN	277	956.291751464044	verschlechtern	V	25	95.9499176122091	harmonisieren	V	20	95.5267875542476
Profil	24	5.46	1.86	18	3.22	2.26	15	5.87	2.17	6	1	314244	entsprechen	V	517	998.647432200061	blechen	NN	142	997.381795755541	gewünscht	ADJ	415	993.555833919026	mit	P	17125	9905.27679004501	unterscheidbar	ADJ	29	99.6284095865524	sollen	V	1965	99.61160247742	S-Schlag	NN	15	99.3939384792961	Leiste|Leisten	V	28	99.2349818137531	richtig	ADJ	660	98.7959774247339	zusätzlich	ADJ	306	98.3950117481703
Löwe	28	5.61	2.10	21	6.57	1.86	26	9.58	1.27	4	4	133315	Nassauer	ADJ	18	98.9196571185115	Tor	NN	101	98.2855220211046	Stadtwappen	NN	21	98.0260943913763	Sieg	NN	88	98.000942449254	Gepard	NE	15	96.4764982403215	gehalten	ADJ	42	96.1766823289159	antworten	V	63	96.0873579026946	Hölle	NN	44	95.9732928775586	Pocahontas	NE	17	95.9515436985615	Otter	NN	18	95.8409849832932
Konsultation	29	4.28	2.07	32	3.59	3.23	27	4.85	2.93	12	1	17045	Regierung	NN	47	98.8884932907473	ökumenisch	ADJ	26	98.4695519700785	starten	V	51	97.554798581913	Koordinierung	NN	19	97.5269208642133	Washington	NE	28	95.913481578464	eingeleitet	ADJ	20	94.7006502733598	Stellungnahme	NN	30	94.4132567340326	jährlich	ADJ	42	91.8394926291387	Arbeitnehmervertreter	NN	15	90.5746265519683	Termin	NN	11	9.9174011299195
Gremium	25	4.00	1.73	29	1.97	1.94	22	5.91	2.52	7	1	150731	Arbeitsgruppe	NN	283	996.027191665994	Universität	NN	478	995.586338650814	gemeinsam	ADJ	667	991.215271203106	Mitverantwortung	NN	27	99.6871395116205	gewährleisten	V	71	99.6141895441945	&quot;	P	348	99.275359493702	vergeben	V	72	99.1774165474262	zusammentreten	V	22	98.9665447808319	Vielzahl	NN	81	98.9482254991145	ablehnen	V	68	98.6043818241258
Parole	36	3.11	2.24	23	5.91	2.86	29	4.97	3.03	6	2	52450	hausieren	V	18	99.8589120735023	sinnfrei	ADJ	24	99.8484910623765	antiislamisch	ADJ	15	97.7749399244545	anti-israelisch	ADJ	15	97.6363323959621	polemisch	ADJ	24	97.277769391813	Verbreitung	NN	39	97.0176916363745	missbrauchen	V	34	97.0044791645701	link	ADJ	24	96.6414321860284	zentral	ADJ	68	96.3076843644684	damals	ADV	92	96.2745417126264
Handschrift	27	5.70	2.18	16	1.13	2.03	23	8.26	2.24	11	3	67330	vorliegen	V	51	99.6464436732995	ediert	ADJ	17	99.4024457573255	ausgestattet	ADJ	37	99.1693969021376	über	ADV	112	98.3003178737525	fein	ADJ	67	98.2637285913361	SPD	NE	61	98.2547287001794	Faksimile-Edition	NN	12	98.045067211686	Jahrhundert	NN	97	98.0001750322775	Mittelalter	NN	238	975.351848243688	tragen	V	2434	9748.00178166518
Sex	26	7.46	2.76	13	6.77	2.65	21	8.48	1.81	3	4	247158	Droge	NN	2076	9973.25751145902	Gewalt	NN	2623	9935.29100988139	Verbindung	NN	188	99.7452332476491	betreffen	V	140	99.4263854955658	Kind	NN	1252	985.184315974942	Pille	NN	51	98.7323729098104	großartig	ADJ	91	98.5863165297484	Ehebruch	NN	29	98.4106195185692	immer	ADV	2397	977.979391171571	Essen	NE	74	97.3621344212458
Zeugung	29	6.41	2.03	24	6.21	2.83	19	6.42	2.81	7	4	9874	auf	P	319	99.7636975876207	Zeitpunkt	NN	221	982.593023210513	vor	P	457	980.546429498947	Nachkomme	NN	149	975.609069571756	ohne	P	83	97.6970240609817	Ehe	NN	28	96.6097103479072	Tod	NN	40	95.2597709283129	seit	P	75	93.3042133950551	Gott	NN	52	93.0035459991311	während	P	46	92.1999113794051
Lupe	29	5.45	1.90	17	2.00	2.57	25	9.32	2.06	4	3	89189	mittels	P	70	98.8346721578429	benutzen	V	84	94.3926989552868	vergrößert	V	20	93.0978530208672	mit	P	8413	9229.8871128909	ausgerüstet	V	23	91.6578049889998	Pinsel	NN	31	91.1985978900264	befragen	V	10	9.88456988071393	links	ADV	35	9.87424361073605	genau	ADV	26	9.6290531565588	unterhalb	P	12	9.53888181353836
Beschaffung	33	4.88	1.78	30	2.77	2.33	22	3.86	2.82	11	1	66717	Ersatzdokument	NN	13	99.27211933896	geeignet	ADJ	349	988.482272285753	LF	NN	15	98.5283936854812	bewaffnet	ADJ	36	98.4219090160099	Mehrzweckfahrzeug	NN	15	98.4070010617894	Personendatum	NN	20	98.2314093610175	Informationsmaterial	NN	26	98.0451231499473	Planung	NN	307	974.045864352288	teuer	ADJ	85	97.7605259924834	Verkauf	NN	55	97.4878381681547
Ware	23	4.83	1.53	24	1.88	2.17	19	6.21	3.43	4	1	434929	unverpackt	ADJ	162	999.663535595047	um	P	3295	999.24025067679	Abnahme	NN	298	991.539544884411	verbilligt	ADJ	29	99.8914615382053	zurückhalten	V	52	99.8607261761796	unbrauchbar	ADJ	51	99.7704723943571	Verunreinigung	NN	47	99.6754026918509	Eignung	NN	56	99.6233284010225	Online-Handel	NN	30	99.4330319001511	Lieferfrist	NN	31	99.0909443514759
Vereinigung	23	7.30	2.40	20	5.50	2.89	18	4.33	2.09	11	4	187418	studentisch	ADJ	258	996.840400477712	deutsch-italienisch	ADJ	21	99.9248827881446	Metall-Berufsgenossenschaft	NN	13	99.6478364784929	konspirativ	ADJ	26	99.2596614379456	Werknutzer	NN	14	99.2299235010671	konservativ	ADJ	57	99.0789800359038	deutsch-deutsch	ADJ	172	989.900648765683	&quot;	ADJ	932	988.630507087411	beschuldigen	V	35	98.7538096676992	landesweit	ADJ	47	98.7309192412882
Apotheke	23	5.22	1.65	26	2.88	2.30	19	9.16	1.46	8	3	159112	anfertigen	V	48	99.9934659557023	freiverkäuflich	ADJ	19	99.3605527685561	kaufen	V	2900	9896.01754116554	Gutschein	NN	55	98.986687294148	modern	ADJ	154	98.5927696305416	Fachkompetenz	NN	30	98.3684567735157	Arzt	NN	2570	9727.21584754869	online	NE	40	97.8441413204931	beliefernd	ADJ	14	97.6088164873834	Zeckenzange	NN	17	96.9351045264617
