Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	Avrg_Cosine
Geständnis	22	5.18	2.22	31	5.68	2.95	21	6.00	3.03	10	4	29461	0.1035182285492597
Erörterung	28	5.07	1.96	25	3.92	2.63	29	4.66	3.11	10	1	31725	0.08646723361311348
Busch	15	5.13	1.46	23	2.87	3.15	14	8.36	2.13	5	3	74012	0.10409221837151503
Elch	22	6.05	2.06	28	2.25	2.15	23	8.87	2.85	4	3	23326	0.0718911589218214
Konfrontation	30	3.27	2.35	22	7.32	1.73	22	4.68	2.70	13	2	54673	0.07179772286277016
Bronze	26	5.81	1.96	21	1.67	1.68	26	6.96	2.52	6	3	64737	0.09313253950897789
Pferd	30	6.03	2.27	31	3.68	2.83	23	9.70	0.70	5	3	941031	0.05899118717430483
Tod	26	1.73	2.27	19	6.63	3.58	18	8.28	2.35	3	2	1255970	0.09174920755005073
Taxi	25	5.88	1.69	26	2.38	2.79	17	9.24	2.19	4	3	110076	0.05926200684387797
Verb	21	5.71	1.90	14	0.50	0.65	26	5.38	3.78	4	1	38718	0.08713144751304501
Lehrer	29	5.45	2.11	19	5.21	3.03	18	8.00	2.85	6	4	794648	0.045668860180710154
Impfstoff	41	6.39	2.41	30	4.27	3.04	17	6.94	3.15	9	4	45293	0.13105791650207851
Puppe	20	4.85	2.13	31	2.68	2.73	31	9.23	1.41	5	3	73861	0.06723677345093962
Serum	13	4.77	2.20	29	3.45	2.56	20	6.75	2.27	5	1	18590	0.08418648864419019
Spruch	30	5.63	1.61	23	2.43	1.83	18	4.67	3.09	6	1	283686	0.05943034163003864
Tagung	15	5.20	2.76	26	2.96	2.54	28	5.79	3.05	6	1	188802	0.08520152406221988
Abfall	29	3.03	2.72	26	3.92	2.83	25	7.96	2.07	6	2	139157	0.08418858325360352
Zerstörung	36	3.28	3.16	24	7.88	2.38	17	6.41	2.55	10	2	165992	0.11169653881562898
Hirte	21	6.00	1.84	28	1.82	2.58	20	8.40	1.76	5	3	53228	0.07612221764306298
Durchsetzung	24	5.50	2.02	15	5.60	1.92	23	4.26	2.97	12	4	73919	0.1125136875684465
Verschmutzung	26	1.85	1.59	24	3.33	3.12	23	7.17	2.77	13	2	36046	0.10353553363861569
Inbegriff	23	4.61	1.59	13	2.46	2.99	22	3.68	3.64	9	1	24552	0.11798702488693716
Brot	19	6.84	2.22	32	2.41	2.61	25	9.36	1.47	4	3	290655	0.14641821140884725
Kloster	24	5.08	2.17	21	2.67	2.18	18	9.28	1.02	7	3	290011	0.08125092443448434
Visum	34	4.74	2.38	22	2.91	2.83	21	7.76	3.18	5	3	67472	0.07040721714798806
Tafel	31	5.65	1.64	17	1.41	1.62	30	8.27	3.04	5	3	154610	0.031596266050858565
Datei	28	4.89	1.77	14	3.50	3.32	21	7.38	2.46	5	3	747746	0.06163085171049272
Funktion	28	5.39	2.35	32	2.56	2.05	25	4.76	2.30	8	1	1158813	0.13557068251655358
Schlinge	32	2.44	1.92	31	5.16	2.88	20	8.00	2.20	8	2	11664	0.05299617730411625
Mörder	23	1.13	2.18	25	6.88	2.95	29	7.62	2.31	6	2	113959	0.09250323329085358
Haken	18	3.28	1.27	29	2.45	2.72	28	8.29	2.11	5	3	114893	0.09406713679411745
Gewitter	11	4.91	2.30	19	6.26	2.40	31	9.16	1.39	8	2	70943	0.03865085478808146
Untergrund	24	4.83	2.39	28	4.50	2.70	19	5.32	2.00	10	1	118298	0.05708260603082653
Farn	22	5.86	1.73	15	1.13	1.60	24	8.75	1.19	4	3	9132	0.053187722224359135
Expedition	22	7.23	2.18	24	5.08	2.80	22	5.55	2.56	10	4	55665	0.13308686938586337
Optimum	36	7.17	2.42	21	4.81	3.04	19	4.42	2.95	7	4	24354	0.11138643720459386
Guss	16	5.44	1.71	12	2.08	2.31	18	4.72	2.35	4	1	20897	0.06384053416342844
Becken	12	6.25	1.54	20	1.50	2.26	15	7.53	2.00	6	3	250869	0.18896287878934534
Gitter	12	2.33	1.72	21	3.00	2.12	19	8.68	1.06	6	3	70857	0.09496292810195824
Ruine	17	2.82	3.13	24	3.96	2.68	22	8.55	1.71	5	2	89705	0.0665430436119285
Lawine	16	3.13	2.47	19	6.32	2.19	17	9.00	1.66	6	2	17594	0.057851275429865595
Erfassung	28	4.57	1.97	29	3.07	2.40	19	4.32	2.91	9	1	85815	0.13137708154295796
Sattel	20	4.80	0.95	22	2.82	2.63	18	9.11	2.40	6	3	97250	0.06438932113651796
Handhabung	29	5.00	1.77	32	2.91	2.43	23	3.70	3.50	10	1	84393	0.11586881039304872
Schrift	32	6.44	2.30	22	2.95	2.10	13	6.69	2.06	7	3	429033	0.08459074719724194
Sumpf	35	3.20	2.00	35	2.89	2.01	23	7.43	2.95	5	3	44342	0.055519310583108245
Ermittlung	32	4.03	1.75	27	4.93	2.89	23	4.30	2.93	10	2	212149	0.12499030220477117
Seele	27	7.63	1.80	27	5.00	2.72	24	3.92	3.65	5	4	657851	0.062436081807973526
Einlauf	19	1.89	2.87	20	4.15	3.03	15	5.87	2.33	7	2	11364	0.0846817193336679
Logik	28	6.86	2.56	28	3.00	2.68	24	4.50	2.99	5	1	162697	0.11046912029269995
Dilemma	27	3.26	2.70	28	6.46	2.57	17	3.47	2.43	7	2	58071	0.05024724824718013
Schirm	27	5.48	2.03	23	1.43	2.15	29	9.00	2.30	6	3	80644	0.05311174466199109
Episode	30	5.90	1.24	24	3.04	3.04	26	5.35	3.14	7	1	165256	0.074132721375742
Gemeinde	30	5.40	2.33	20	2.40	2.56	17	6.29	2.69	8	1	1397844	0.08120805303242051
Hecke	28	5.21	1.57	22	1.73	1.61	26	8.62	2.58	5	3	46462	0.08539880302508925
Zusammenhang	25	5.72	1.93	22	2.55	2.39	23	4.61	3.35	12	1	1198691	-0.010233379834470884
Bahnsteig	32	4.50	1.80	29	2.55	2.11	30	9.10	2.06	9	3	42436	0.10537291779738911
Befragung	26	4.19	1.55	24	3.96	2.39	27	6.70	2.77	9	1	116203	0.1294009351517366
Opa	28	7.39	2.60	26	3.38	2.91	20	8.95	2.35	3	3	36514	0.035246127900718884
Kerl	21	4.00	2.45	16	3.19	2.14	17	8.29	1.57	4	3	149872	0.0940984623583839
Ernährung	28	6.64	1.87	26	3.77	2.82	21	6.81	2.14	9	4	363197	0.09713270840902473
Salat	28	7.18	1.47	27	1.81	2.11	11	8.00	2.65	5	3	111629	0.062148888997129684
Zusammenarbeit	35	7.40	1.65	27	4.63	2.08	16	6.00	3.08	14	4	916644	0.05271836938943804
Attraktion	20	6.60	1.64	22	6.77	2.45	23	5.13	2.69	10	4	97543	0.13490173897635616
Missverständnis	16	2.63	1.78	20	5.65	2.64	27	4.85	2.64	15	2	108660	0.0883962047561201
Erfüllung	20	7.55	2.70	23	5.70	2.65	27	3.96	2.75	9	4	188004	0.11607331180114912
Insekt	22	3.27	2.07	17	3.88	2.96	18	8.06	2.65	6	2	100081	0.10422889204076188
Schwanz	11	5.00	1.79	22	5.27	3.38	20	8.55	1.96	7	3	87690	0.08860781014707135
Ergebnis	24	6.46	1.74	24	4.67	2.32	25	6.60	2.57	8	4	1257222	0.07877698121685531
Idee	35	7.31	2.63	19	5.84	2.63	21	4.48	3.19	4	4	2172027	0.07045432399426503
Dom	19	6.47	2.12	18	2.61	2.62	28	8.25	2.66	3	3	127341	0.14976480867889103
Ablenkung	23	5.70	1.82	16	3.44	2.48	18	5.89	3.07	9	1	40079	0.07329739676545778
Angriff	27	1.96	2.05	19	8.37	1.89	18	6.50	1.92	7	2	601900	0.08833271006611698
Bischof	24	3.83	2.55	24	1.71	2.40	26	8.46	2.40	7	3	256815	0.052949508301705875
Begebenheit	21	5.33	1.24	27	2.52	2.26	19	3.79	1.99	11	1	47996	0.13100337806283432
Geste	20	6.55	1.39	23	3.35	2.92	23	5.26	3.24	5	1	98739	0.12013355881499523
Höhe	33	5.52	2.15	21	4.81	3.20	31	5.74	2.52	4	4	1386120	0.08155694304349571
Ruder	27	5.41	1.89	28	2.25	2.63	21	9.19	1.97	5	3	48775	0.07653112331582007
Kuchen	21	7.33	2.76	28	3.93	2.91	19	8.11	3.14	6	3	196388	0.06711910737216513
Revolution	32	5.31	2.01	23	6.57	2.92	23	5.48	2.63	10	4	271626	0.08147029253381069
Störung	28	2.43	1.75	25	5.88	2.73	22	4.95	2.84	7	2	296034	0.10803101099046035
Definition	27	6.04	1.45	28	2.79	2.99	23	4.43	3.38	10	1	246584	0.10818423830909935
Impuls	23	6.83	1.44	26	5.38	2.90	23	4.91	2.66	6	4	213186	0.09085375311846416
Genehmigung	22	5.27	2.64	18	2.67	2.50	25	5.00	3.45	11	1	216248	0.11479598524964554
Tagebuch	18	5.06	1.98	27	3.30	2.93	26	8.88	2.20	8	3	114824	0.04350824806258531
Mitschuld	33	2.76	2.12	19	6.32	2.06	18	3.28	3.04	9	2	13314	0.09383563071606708
Bevölkerung	25	5.28	2.09	25	2.36	2.40	19	7.42	2.27	11	3	799435	0.07683720756685795
Peitsche	28	1.93	2.09	36	5.72	3.14	19	8.63	2.36	8	2	19610	0.07352596095968979
Laden	18	5.61	1.72	24	2.42	2.26	21	7.86	2.56	5	3	406467	0.07873906166661211
Brücke	31	6.65	1.64	21	3.24	2.66	21	9.62	1.07	6	3	431671	0.11153364972900423
Abbruch	22	3.09	2.86	27	5.07	2.25	17	4.71	3.24	7	2	86328	0.08160966328399832
Konto	28	6.07	2.16	29	4.31	3.26	27	7.48	2.65	5	4	298417	0.06432958187533125
Leopard	19	5.89	1.85	27	5.00	2.69	26	8.81	2.12	7	3	10071	0.07056040601054779
Zündung	23	4.70	2.10	22	3.50	2.94	13	5.23	2.52	7	1	37248	0.0767146904743185
Gelände	23	5.61	1.37	30	1.57	1.50	19	7.32	2.50	7	3	391038	0.09130425141331354
Abbau	23	2.96	2.03	27	2.48	2.74	19	3.79	2.68	5	1	130466	0.06998638161893198
Taste	26	5.58	1.60	32	1.38	2.32	18	8.22	2.32	5	3	89831	0.05771252484158811
Kugel	22	5.82	2.38	25	1.88	2.35	17	8.76	2.46	5	3	195486	0.09130301992654744
Trick	31	5.10	2.07	23	3.48	2.61	18	4.61	2.97	5	1	225938	0.04590267649551091
Vaterunser	25	5.04	2.49	27	3.78	3.20	31	5.65	3.06	10	1	7436	0.05909684987818284
Angelegenheit	24	4.79	1.56	30	2.37	2.11	32	3.53	2.34	13	1	278325	0.08365372723147393
Komponente	28	5.50	1.60	27	2.70	2.30	18	4.78	3.08	10	1	289914	0.0714426876187933
Stand	22	4.77	1.23	14	1.36	1.55	17	4.53	3.00	5	1	680496	0.03951853422686238
Pflaume	25	6.36	1.70	25	2.04	2.44	25	8.08	3.05	7	3	16877	0.045452788782141776
Firma	12	4.67	2.02	24	3.50	2.81	19	7.16	2.22	5	3	1503491	0.11880481981640377
Substanz	25	4.80	2.52	30	2.27	2.57	19	5.00	3.20	8	1	241231	0.09749045371057626
Post	29	6.03	2.56	29	3.45	2.95	34	7.94	2.00	4	3	600292	0.08054442614251296
Aktion	22	6.77	1.27	22	5.77	3.07	20	4.70	2.96	6	4	1045385	0.18146460420829502
Aufprall	25	1.64	1.96	36	6.69	2.19	17	7.88	2.29	8	2	23552	0.11967784921186643
Option	24	6.50	2.28	24	3.21	2.48	28	3.82	3.38	6	1	402741	0.0798310037845165
Mythos	17	6.00	2.74	23	6.00	3.07	20	3.20	2.38	6	4	149503	0.053288633806973885
Epoche	19	5.84	1.98	31	2.61	2.32	22	5.41	3.19	6	1	128389	0.11863274990083575
Beeinflussung	25	3.20	1.89	16	4.88	2.70	21	5.48	3.25	13	2	40260	0.15557081390094954
Ehrung	22	7.18	2.50	31	5.81	2.39	30	5.50	2.30	6	4	69478	0.06994765706260005
Bahn	18	4.50	2.04	24	2.83	2.63	19	7.53	3.13	4	3	436351	0.04017467023557142
Start	26	6.88	1.75	27	5.41	3.00	25	6.20	3.20	5	4	785740	0.05593357053374079
Einschränkung	24	3.00	1.62	23	5.13	2.90	22	4.50	2.97	13	2	241649	0.11773352904219538
Bewertung	28	4.21	1.91	16	5.25	3.13	20	2.95	2.33	9	1	453386	0.13526957549923618
Warnung	29	3.62	1.92	28	6.43	2.49	18	6.06	2.96	7	2	120404	0.06550250853645195
Mehl	29	5.59	1.76	15	0.93	1.39	30	9.17	1.90	4	3	73008	0.12645186610944964
Lösung	26	7.23	2.08	17	5.35	2.52	19	5.16	2.71	6	4	1513683	0.035773837897377564
Zettel	27	5.93	2.06	20	2.60	2.89	25	8.44	2.81	6	3	103489	0.03605755731523923
Verbot	26	2.81	1.88	22	6.09	2.69	19	6.05	3.06	6	2	211191	0.06935915240910422
Bagger	26	4.92	1.20	29	2.28	2.89	24	9.21	1.69	6	3	27057	0.07640739101797134
Gleichheit	24	6.58	2.22	25	3.32	2.97	19	3.84	3.17	10	1	50911	0.12014679022462779
Einigkeit	29	8.28	1.33	20	4.20	3.02	17	3.88	2.71	9	4	38746	0.09161615417196335
Würde	33	8.03	2.08	21	4.43	2.87	28	4.07	2.83	5	4	107442	0.04783727928111134
Metall	24	5.13	1.92	24	3.29	2.97	19	7.47	2.84	6	3	220104	0.09779444997307914
Aufstieg	27	7.48	1.70	23	5.96	2.53	28	5.25	2.93	8	4	243450	0.07967881416774696
Samen	23	6.13	2.12	24	4.75	3.31	22	7.95	1.50	5	4	1	0.0
Zeichnung	28	6.32	1.91	25	1.72	1.65	20	7.75	2.63	9	3	210036	0.06533895289678855
Weib	24	3.17	2.60	19	4.89	2.94	16	6.88	2.70	4	2	76123	0.04856593901302583
Osten	26	4.65	2.23	24	3.46	3.23	34	6.79	2.92	5	3	423246	0.04942596613563577
Zahnbürste	43	5.88	2.00	30	1.47	1.66	26	9.58	0.90	10	3	25557	0.06752462124815523
Auge	36	6.53	1.96	27	4.19	2.42	24	9.79	0.59	4	3	2326607	0.05888606040353508
Knie	25	4.96	2.09	23	1.87	1.77	17	8.94	2.49	4	3	170353	0.09226172046579538
Appell	29	3.79	2.29	25	5.40	2.72	22	3.64	3.08	6	2	58923	0.11736412574806554
Wiederherstellung	22	6.14	2.49	7	1.71	1.11	19	3.32	2.45	17	1	69032	0.09494410752032854
Einsparung	18	4.61	2.52	29	3.62	2.91	24	4.96	3.22	10	1	82855	0.07091990989839714
Kehrseite	26	4.08	1.92	29	2.90	2.51	13	5.00	2.86	9	1	16057	0.024492117698772565
Fotografie	20	6.90	2.25	22	4.95	2.48	17	8.82	1.55	10	4	169459	0.12767961029103725
Unbesonnenheit	24	2.92	1.98	39	4.18	2.86	23	2.96	2.67	14	1	471	0.0
Verarbeitung	34	5.71	1.73	22	3.36	2.80	26	4.88	2.82	12	1	205365	0.0913324509385867
Polizist	24	5.46	1.61	13	4.31	1.84	23	8.74	2.90	8	3	245274	0.05079936684479629
Ausgabe	29	4.55	2.03	27	2.19	2.15	19	4.63	2.67	7	1	723133	0.04864787231666944
Gesicht	20	6.85	2.35	25	5.48	2.86	24	9.00	2.30	7	4	979446	0.045271327948306066
Vogel	25	6.80	2.60	26	3.19	2.35	22	8.77	2.31	5	3	369303	0.07514057137786839
Spezialist	21	5.57	2.27	22	4.23	2.79	15	5.60	3.44	10	1	180964	0.05837106628372754
Ober	34	5.74	2.08	28	1.64	2.09	21	8.52	2.96	4	3	35747	0.10003370201637991
Terrorist	26	1.38	2.79	35	6.37	3.28	25	6.80	2.74	9	2	103204	0.09556628849995219
Akzent	26	5.15	1.78	23	2.96	2.34	18	5.28	3.34	6	1	106851	0.11299245095423911
Horn	21	4.52	1.78	22	1.68	1.99	20	8.60	1.93	4	3	62407	0.09975329160762034
Bild	25	6.96	2.03	26	2.77	2.70	23	8.43	1.47	4	3	4950811	0.13045231192452703
Rast	21	6.48	2.02	17	2.65	2.40	32	5.94	2.38	4	1	31031	0.1000819394696168
Scheune	19	6.11	1.94	20	2.40	2.33	24	9.25	1.89	7	3	47721	0.043819712448738744
Stelle	16	5.19	1.83	17	2.35	1.77	14	3.93	2.30	6	1	1591766	0.07652492427821338
Lenker	26	5.46	1.94	23	2.61	2.71	25	7.80	2.20	6	3	46476	0.06360055225284392
Medium	27	5.52	1.74	25	3.32	2.64	19	4.00	3.09	6	1	1156464	0.12494239930791945
Ei	29	5.83	1.54	29	1.62	2.23	22	9.45	1.01	2	3	332639	0.13135435912602536
Hafer	21	6.10	2.30	24	1.46	2.41	16	9.00	1.75	5	3	18331	0.04576650766360931
Psychologie	23	5.87	2.77	21	5.14	2.89	19	5.53	3.01	11	4	137848	0.07466252519015777
Schrank	24	5.00	1.41	28	1.54	2.10	25	9.32	0.95	7	3	137330	0.05776429183970659
Betreuung	24	5.25	2.38	19	2.79	2.15	24	4.75	3.22	9	1	357467	0.13672868875405536
Allee	25	7.52	1.83	17	2.53	1.87	18	8.78	2.24	5	3	43946	0.11508842115368884
Ruhestand	17	6.35	3.24	31	1.87	2.54	16	5.63	2.73	9	1	80234	0.06300550899305579
Mechanismus	34	5.29	1.51	20	4.10	2.65	24	5.21	2.48	11	1	123971	0.12408059540852515
Beifall	31	7.45	1.61	32	4.84	2.94	24	8.38	1.81	7	4	86073	0.09876887461186996
Erdbeere	26	7.65	2.48	23	4.43	2.71	21	9.67	1.53	8	3	42067	0.08491647250147422
Anweisung	17	4.35	2.00	17	4.29	2.76	20	4.95	3.44	9	1	155445	0.10356163242107645
Maler	31	6.13	2.06	32	2.91	3.50	25	8.08	2.14	5	3	141779	0.09215660603410408
Spekulation	24	3.75	1.42	18	5.72	2.59	19	4.26	3.23	11	2	114795	0.06894914139990332
Form	22	6.18	1.47	22	2.86	2.55	25	4.04	3.03	4	1	2365669	0.13163655194700688
Verwendung	24	5.04	0.95	27	1.78	2.03	26	4.35	2.65	10	1	534627	0.07078225771016533
Szene	27	5.67	1.59	23	4.35	3.14	14	2.86	2.11	5	1	709596	0.025895908228166106
Körper	24	5.42	2.04	26	5.92	1.81	19	8.26	1.79	6	4	1383341	0.0845178782471319
Wurzel	15	5.33	2.16	23	1.65	1.97	13	8.69	1.93	6	3	280439	0.07653242170212557
Mähne	33	6.00	2.15	17	3.59	2.83	22	8.05	2.28	5	3	15919	0.06501116345912158
Schlamm	26	4.42	2.35	20	2.65	2.25	26	9.31	0.93	7	3	42273	0.10678810789355184
Schuld	34	1.91	2.15	14	6.86	2.66	23	3.48	2.21	6	2	417801	0.08935653344801281
Vase	25	6.24	1.64	20	1.25	1.45	24	9.08	2.04	4	3	22271	0.09134747733516041
Ermächtigung	28	4.68	2.00	27	4.81	2.91	29	3.93	3.02	12	1	19589	0.11700181448712561
Grundlage	30	6.53	2.06	19	1.68	1.67	21	3.52	3.22	9	1	976463	0.13319184849014623
Netzwerk	40	5.45	2.30	26	3.19	2.23	17	5.94	3.40	8	1	579077	0.11879319660055619
Experte	32	6.25	2.08	31	4.52	2.47	29	6.76	2.60	7	4	538784	0.10155944100251163
Zitrone	25	5.40	1.68	23	4.52	3.10	24	9.83	0.38	7	3	44173	0.06602640938076255
Dame	26	7.04	2.20	24	3.29	2.53	13	7.62	2.29	4	3	607568	0.06453770189278783
Abteilung	20	4.90	2.02	31	2.71	2.56	14	5.86	2.88	9	1	358699	0.13017582395106483
Wolf	33	5.21	2.19	26	5.50	3.01	14	9.43	1.65	4	3	114579	0.04825993042754963
Romantik	24	8.13	2.61	23	6.65	2.62	23	4.70	3.21	8	4	58305	0.13580156318388165
Wolle	17	5.88	1.90	25	1.28	1.79	21	8.95	1.88	5	3	34635	0.05531477980058713
Brand	25	1.88	2.39	33	6.42	2.63	22	8.50	2.04	5	2	204235	0.11728396341436602
Information	24	7.38	1.71	25	3.80	2.53	23	3.87	2.55	11	4	2620181	0.12353278704782068
Säumnis	25	3.08	2.04	18	2.78	3.08	15	2.73	2.28	7	1	1292	0.07723979448276175
Ergreifung	24	3.88	2.23	32	5.78	2.50	24	4.33	2.82	10	2	4775	0.07654076337102532
Magen	20	3.85	1.50	16	2.31	1.96	30	8.57	1.83	5	3	157316	0.05293095530169234
Evangelium	38	4.79	2.55	27	3.04	2.78	21	6.52	2.87	10	1	119924	0.16688311312950962
Vorbild	23	7.48	1.75	16	3.13	3.36	22	5.82	2.61	7	4	310921	0.03536239446341091
Angst	26	2.81	2.51	19	7.89	2.16	29	6.21	2.83	5	2	1276613	0.13099619533879983
Wolke	30	7.30	1.82	11	2.91	2.59	12	8.92	1.08	5	3	212256	0.03590630352303087
Geruch	21	5.00	2.19	32	5.50	2.55	19	6.84	2.97	6	4	154321	0.07538945837197145
Bekämpfung	23	2.83	1.92	28	6.39	2.41	20	6.35	2.74	10	2	107582	0.11855311026849005
Erforschung	24	7.21	1.38	16	4.88	2.42	26	5.65	2.91	11	4	81298	0.16404187322921696
Rum	24	5.21	2.65	33	3.85	3.03	14	8.93	1.64	3	3	14335	0.10006514374355659
Voraussetzung	29	4.66	1.40	30	2.90	2.73	28	4.18	3.09	13	1	861189	0.0303559854217408
Hindernis	27	3.48	1.97	20	4.45	1.99	20	6.95	1.85	9	2	155193	0.086510448757348
Scheidung	26	2.50	2.86	27	5.85	2.77	27	6.15	3.25	9	2	86409	0.032676313043190144
Bildung	33	7.39	2.00	20	4.80	3.02	25	4.40	2.68	7	4	704678	0.08799087437040487
Startbahn	28	5.11	2.02	30	3.67	2.81	19	7.95	2.46	9	3	10586	0.07267900101619977
Forderung	17	4.29	1.69	20	5.50	2.46	28	4.36	2.68	9	2	573461	0.10873918350859556
Bildschirm	24	5.42	1.10	27	2.00	2.18	28	8.14	3.15	10	3	257694	0.10386076608139094
Beschäftigung	26	6.19	1.94	21	4.52	1.94	15	5.13	3.09	13	4	239003	0.0731085608089658
Begrenzung	34	3.85	1.58	24	4.08	2.38	11	8.00	1.79	10	3	76519	0.15586285317713788
Rang	21	4.62	1.53	18	3.67	2.77	21	4.19	3.46	4	1	306861	0.05744399425583961
Arbeitsplatz	24	5.54	2.28	19	4.47	2.89	16	6.81	2.14	12	4	533206	0.09050425193975899
Kinn	22	4.91	1.54	14	1.00	1.57	20	9.05	2.37	4	3	33476	0.09041684575333607
Duft	26	7.96	1.84	22	5.50	2.69	24	5.92	3.16	4	4	183384	0.10640755420533761
Schnappschuss	23	6.83	2.12	22	4.50	2.76	19	6.95	2.88	13	4	24594	0.09332680416667902
Keller	19	3.74	1.66	27	2.96	2.36	27	8.93	2.00	6	3	256852	0.0839980118296512
Behandlung	26	4.46	1.50	21	3.38	2.22	23	4.48	2.73	10	1	805765	0.10236022669495036
Schürze	31	4.74	1.79	18	2.00	2.52	20	7.95	3.19	7	3	16783	0.08065955322845131
Kanu	30	5.87	2.10	29	2.38	2.37	27	9.07	1.44	4	3	24000	0.10535320531163009
Ausnahme	28	5.29	1.84	27	4.15	3.01	24	3.71	3.42	8	1	524926	0.03921478609171925
Aggression	38	1.89	2.08	25	7.24	2.67	20	5.25	3.23	10	2	68172	0.1139493969125003
Butter	32	5.69	2.22	31	1.94	2.32	30	9.83	0.59	6	3	132957	0.149439341977517
Sitte	23	4.74	2.16	27	4.07	2.56	24	3.13	2.19	5	1	67031	0.05334870954866737
Abrechnung	25	3.80	2.43	28	4.75	2.99	14	6.50	2.71	10	2	100722	0.1339683673165627
Speise	29	6.59	2.20	22	3.45	2.50	23	7.35	2.31	6	3	24359	0.14807302634756384
Metzger	26	4.31	3.17	23	3.65	2.57	22	7.82	3.46	7	3	29408	0.03749019627113587
Schläger	19	2.00	2.36	21	7.33	2.13	15	7.67	2.44	8	2	56518	0.041886282209421435
Sänger	31	6.55	2.39	29	4.00	2.75	24	8.33	2.14	6	3	257617	0.045470213279975094
Verbrauch	23	4.57	1.75	25	2.52	2.55	31	4.90	3.00	9	1	145476	0.0821865265103547
Tarif	22	4.86	2.44	18	2.67	2.83	15	5.07	2.31	5	1	204535	0.0824461864724963
Neigung	32	5.41	1.36	25	3.24	3.15	22	4.77	3.18	7	1	102205	0.07911811246151722
Gott	19	6.16	2.59	16	5.50	2.28	24	4.25	3.35	4	4	2884114	0.13653125951154904
Handschrift	27	5.70	2.18	16	1.13	2.03	23	8.26	2.24	11	3	67330	0.12307866280405387
Unterschlagung	31	2.55	2.50	23	5.57	2.50	22	4.73	2.80	14	2	6419	0.04302229599699305
Deckung	22	4.68	1.84	22	3.27	2.39	17	3.82	1.85	7	1	93194	0.07315445566743539
Kühlschrank	21	6.86	1.42	16	2.75	2.65	30	9.43	1.22	11	3	137276	0.0773705950498862
Bein	29	5.59	1.38	28	2.14	2.90	28	9.57	0.74	4	3	643821	0.08537973758631245
Einrichtung	33	5.24	1.95	31	2.06	2.39	22	5.68	2.71	11	1	855950	0.11302829871741164
Bank	28	5.50	1.91	25	3.68	2.29	8	9.50	0.93	4	3	1032390	0.07994538600023368
Anzeige	16	4.38	2.87	16	4.31	2.57	21	6.81	2.91	7	2	272287	0.1295173240053994
Buchstabe	24	5.42	2.54	21	1.05	1.56	20	9.05	1.54	9	3	214999	0.11642223325927403
Gespräch	22	7.18	1.50	17	3.29	1.79	27	7.22	2.67	8	3	1219087	0.11208789747069846
Stütze	32	5.81	1.93	19	1.58	1.71	21	6.24	2.62	6	1	34095	0.08476611397116171
Dämmerung	32	6.06	2.56	22	4.09	2.51	25	7.12	2.05	9	4	37192	0.06090193215962618
