Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	Avrg_Cosine
Empfindung	18	7.33	1.68	34	5.97	3.14	23	4.48	2.94	10	4	69849	0.07933667455439224
Staub	27	3.52	2.29	21	2.71	2.95	15	8.20	2.62	5	3	138106	0.052171746248273386
Bestattung	33	1.88	2.13	27	5.44	3.23	23	7.83	2.06	10	2	27386	0.12502469726148854
Aufruf	26	4.85	1.99	21	4.86	2.43	25	5.44	2.95	6	1	177537	0.12465133821021888
Kraut	33	5.36	1.92	21	1.38	1.83	23	8.26	2.36	5	3	142332	0.10459561249486676
Schauer	36	3.58	2.14	24	4.71	2.60	16	7.06	2.49	7	2	36448	0.028314288247370492
Gründung	23	6.17	1.80	19	3.68	2.40	21	5.05	3.20	8	1	330311	0.09197503496909436
Bad	25	6.96	1.97	23	3.57	3.41	10	8.50	3.06	3	3	249447	0.058256504434335665
Läufer	29	5.48	1.88	37	2.95	2.33	20	8.50	1.99	6	3	137993	0.06811165914983093
Verbreitung	36	4.75	1.52	27	2.56	2.49	20	3.70	2.83	11	1	186252	0.10117792566674144
Mitglied	28	5.79	1.55	28	2.61	2.17	28	7.39	2.41	8	3	2122254	0.08360779943677571
Kapazität	31	6.16	1.92	18	3.39	2.35	22	5.23	3.26	9	1	150950	0.11291106001350686
Kamm	18	5.67	1.75	26	0.92	1.38	15	9.33	2.06	4	3	39012	0.046157772830622
Samt	28	7.00	2.29	30	2.77	2.86	19	7.79	2.35	4	3	7362	0.02909067946921633
Stecker	27	5.56	1.69	22	2.14	3.08	17	7.29	3.31	7	3	87371	0.03255557174363811
Tüte	29	4.76	1.24	12	1.83	2.17	29	8.52	2.18	4	3	63928	0.06334832430548777
Absicht	24	4.92	1.38	24	4.25	2.83	26	4.35	2.73	7	1	294254	0.16389517496817374
Lohn	25	7.64	1.70	30	4.77	3.51	18	7.44	2.33	4	4	242191	0.04761480518378673
Einschlag	24	3.08	1.67	19	5.79	2.86	21	6.81	2.16	9	2	24970	0.0811919697194703
Kleid	29	6.83	1.75	23	3.57	2.92	23	8.17	3.10	5	3	200536	0.08297217079501218
Gebiet	22	5.45	1.47	28	2.29	2.43	27	6.04	2.74	6	1	984889	0.11822429406709631
Lenkstange	33	4.70	1.33	15	1.87	2.20	24	7.21	3.24	10	3	2007	0.035691603670507534
Fügung	25	4.80	1.80	30	4.27	2.99	24	3.29	2.69	6	1	9334	0.06622171114562164
