Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	Avrg_Cosine
Material	26	5.69	1.69	28	1.61	2.06	23	4.70	3.25	8	1	931502	Farbe	5896	15945.6610593011	Verfügung	4967	11938.1001278149	Verarbeitung	2789	10546.984743209	Verwendung	3305	9528.47773180737	Holz	3171	9346.13886040201	Form	4602	7576.86491507522	Technik	3041	6944.307054675	Einsatz	3036	5364.56260135257	Auswahl	2298	5143.87600119878	Eigenschaft	1784	4205.97879959838	0.9304185137304166
Kanone	25	3.84	2.81	19	4.74	2.05	24	9.83	0.48	6	3	52473	Gewehr	264	1531.43499568141	Butter	150	651.842415535359	Donner	84	475.279705012806	Schiff	168	470.721393359848	Turm	103	338.240876217314	Kanone	66	293.99255667657	Geschütz	58	276.555089380542	Glocke	64	252.890765711733	Waffe	102	243.750792755689	Kugel	66	207.274105009277	0.958431402497484
Spalte	36	3.94	1.69	20	3.65	2.80	24	7.50	2.06	6	3	74806	Zeile	1439	7683.56168775827	Tabelle	1020	5014.77213735169	Spalte	360	1946.82239330389	Wert	468	1218.35769440163	Name	422	842.463631112217	Bemerkung	192	799.689341096651	Nummer	261	607.268746281234	Seite	443	588.099481698591	Inhalt	224	452.06439024455	Anlage	178	363.185622063883	0.9411479617430942
Angriff	27	1.96	2.05	19	8.37	1.89	18	6.50	1.92	7	2	601900	Verteidigung	2522	11059.8459906484	Angriff	2932	8952.01871174972	Gegner	2652	6882.08677579498	Ziel	2683	4731.5866869892	Projekt	2084	2978.57475854786	Revision	862	2957.05451132546	Gastgeber	741	1964.01560961965	Schutz	1006	1825.84302586359	Gast	1285	1788.19233621733	Feind	718	1779.95751592752	0.9369066040958351
Staat	30	4.00	2.21	32	4.09	3.10	26	6.15	3.25	5	1	1548598	Kirche	16798	50733.6022945787	Gesellschaft	11800	31758.5060304439	Trennung	5249	19441.0084149789	Religion	5154	15785.6099449038	Wirtschaft	5825	15755.3650503116	Staat	6646	14903.5084803606	Geld	7737	13771.6762026106	Vater	5620	12213.3216988911	Aufgabe	6012	11980.8524620081	Recht	4960	9908.07618242546	0.9586079607710918
Basis	23	6.09	2.27	24	3.17	2.91	27	4.96	3.30	5	1	700837	Datum	2842	5055.2821110814	Erkenntnis	1416	3074.34186619981	Vertrauen	841	1751.21544210884	Technologie	860	1745.6629958501	Erfahrung	1676	1626.75026554989	Berechnung	680	1616.81597932107	Energie	1114	1411.66018358562	Lösung	1149	1321.98225905351	System	1219	1192.4660234157	Untersuchung	836	1130.30960288819	0.9606848064366764
Koma	27	1.11	1.67	34	5.09	3.21	25	6.76	2.47	4	2	31713	Woche	455	1136.45587505128	Tag	501	1008.1590300126	Tod	228	705.758660004855	Krankenhaus	142	498.854727956878	Jahr	481	491.263030605064	Patient	168	460.869067359144	Krampf	69	380.891391923002	Mensch	221	235.776838709187	Zustand	87	217.990667093281	Zeit	213	179.059798507455	0.9252712558246721
Sumpf	35	3.20	2.00	35	2.89	2.01	23	7.43	2.95	5	3	44342	Moor	864	6371.36929718355	Wald	738	3154.0391666532	See	579	2517.55104310295	Fluss	257	1045.92962659875	Teich	165	765.092828412432	Verbrechen	168	705.566492781372	Wasser	229	463.530374937118	Wiese	118	413.189499007765	Rand	125	377.21931875359	Schlamm	64	305.327434780974	0.953469345473908
Betreff	26	4.77	1.56	24	1.50	1.82	21	3.71	3.05	7	1	54052	Beitrag	11981	72874.7639653866	Nummer	2480	12859.4324278331	Uhr	615	1603.22459508083	Nachricht	218	708.744196530117	Text	215	526.501603171799	Empfänger	97	353.22644077763	Datum	161	307.057245958349	Feld	119	299.04474069099	Betreff	60	289.81219897797	Wort	170	282.530329065482	0.8594575024705208
Spiel	30	7.27	2.23	19	5.63	1.95	14	5.57	2.93	5	4	4027421	Spaß	25528	67164.1575548437	Sport	10857	28344.5265006296	Spiel	18700	26094.6158737504	Beginn	11908	24488.0672491006	Platz	13939	19002.9926201864	Mannschaft	9302	16498.7622433864	Saison	8244	16453.4478811864	Lauf	7180	15390.1546855764	Verlauf	5825	14967.6988305636	Finger	5740	13979.0812785562	0.9444383282230747
