Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	Avrg_Cosine
Milch	29	6.55	2.35	26	1.15	1.87	19	9.68	0.58	5	3	238006	0.2752974899458372
Flügel	19	7.84	1.68	21	3.81	2.66	20	7.65	2.56	6	4	187945	0.15200832784401075
Luftröhre	19	4.63	2.34	18	3.06	3.00	21	8.86	1.71	9	3	6597	0.12575801256900074
Mast	28	4.57	2.50	17	2.65	2.85	18	8.33	1.81	4	3	53227	0.12313556731386437
Kopftuch	36	3.72	2.17	19	4.95	3.54	28	9.14	1.96	8	2	38859	0.3770697213803863
Fügung	25	4.80	1.80	30	4.27	2.99	24	3.29	2.69	6	1	9334	0.1954297127199625
Kausalität	31	5.52	2.19	18	2.44	2.48	20	4.25	3.14	10	1	17086	0.2837726356729268
Index	17	5.59	1.84	21	0.95	1.07	20	4.20	3.52	5	1	95881	0.20838364813291319
Heimat	28	7.71	2.34	16	4.06	2.77	21	6.14	2.54	6	4	441674	0.22447056309198699
Bauch	28	5.71	1.88	27	4.26	3.27	15	9.40	1.06	5	3	275067	0.19831038357330405
Strick	15	3.00	1.65	18	5.28	3.20	28	8.32	2.18	6	2	27658	0.11438747365511345
Biographie	35	5.66	2.27	23	2.57	2.43	20	6.55	2.86	10	3	76468	0.365141443025405
Wasserleitung	32	4.88	1.77	29	1.48	2.15	18	8.39	2.85	13	3	21278	0.07526215385425905
Episode	30	5.90	1.24	24	3.04	3.04	26	5.35	3.14	7	1	165256	0.17320622974179972
Autorin	21	7.29	1.90	24	4.29	2.85	20	7.00	3.24	7	4	248386	0.467947311888887
Solidarität	28	7.68	1.31	28	5.89	2.10	28	4.75	3.32	11	4	144062	0.15394890794540203
Schätzung	18	5.44	2.01	19	2.58	2.43	18	3.44	2.89	9	1	98981	0.09734554567084097
Witz	24	7.08	1.67	22	4.73	2.73	21	5.48	2.68	4	4	225684	0.03783075863101981
Veranda	22	7.59	1.44	34	2.32	2.34	21	8.48	1.99	7	3	15328	0.08926600317498197
Sprichwort	26	5.12	2.14	19	2.16	2.36	20	5.60	2.66	10	1	45123	0.14030619267042424
Kupfer	26	4.81	1.77	22	1.59	2.26	27	8.19	3.03	6	3	63181	0.12449155148944527
Aktion	22	6.77	1.27	22	5.77	3.07	20	4.70	2.96	6	4	1045385	0.4051556609962076
Fragment	27	4.81	1.44	21	3.38	2.84	28	4.71	3.15	8	1	42826	0.20059998964207146
Definition	27	6.04	1.45	28	2.79	2.99	23	4.43	3.38	10	1	246584	0.27835728324378595
Potential	16	6.81	2.40	27	5.04	2.74	28	3.75	3.09	9	4	200764	0.18959695658808762
Zufall	26	5.50	1.98	23	4.52	2.56	25	5.16	3.68	6	1	289753	0.038926651158359374
Docht	25	5.64	1.70	27	2.22	2.19	26	9.46	1.07	5	3	6213	0.09350575765776296
Beihilfe	29	4.00	2.35	31	4.19	2.88	20	2.95	2.35	8	1	38796	0.18069890218368603
Nachfolger	28	4.43	1.64	13	2.38	2.29	24	5.96	2.71	10	1	264154	0.25498724711080023
Ablagerung	26	3.42	2.48	23	2.30	2.72	20	6.60	2.82	10	1	32088	0.19189399314562433
Vision	27	6.63	2.42	21	6.38	1.66	16	4.00	3.03	6	4	214789	0.14441774528921236
Aufwand	20	3.85	2.01	16	4.69	2.57	19	3.84	2.36	7	1	379045	0.27612702128476363
Bildung	33	7.39	2.00	20	4.80	3.02	25	4.40	2.68	7	4	704678	0.1862675192874593
Automat	18	5.00	3.07	30	1.63	2.09	20	7.75	2.55	7	3	67740	0.17937641966488602
Busch	15	5.13	1.46	23	2.87	3.15	14	8.36	2.13	5	3	74012	0.3410471661322778
Verfassung	15	6.87	2.10	16	4.75	2.57	23	4.65	2.31	10	4	219289	0.18096587211474274
Szene	27	5.67	1.59	23	4.35	3.14	14	2.86	2.11	5	1	709596	0.08639143049778739
Büro	27	5.19	1.88	22	2.82	2.48	28	8.25	2.15	4	3	446322	0.25286035731833356
Einbildung	30	3.97	2.61	25	3.96	2.81	24	5.08	2.99	10	1	18408	0.19924591887282658
Glocke	26	5.65	2.31	30	3.57	2.42	20	8.85	1.76	6	3	86560	0.15324834395459644
Verwertung	23	4.17	2.04	23	3.17	2.77	24	3.92	3.09	10	1	58350	0.07566882271227271
Sitte	23	4.74	2.16	27	4.07	2.56	24	3.13	2.19	5	1	67031	0.08058794692530988
Risiko	20	5.05	2.70	28	6.79	2.38	20	4.70	3.59	6	4	788064	0.06948399659999135
Finger	34	6.12	1.81	26	2.08	2.21	17	9.12	2.32	6	3	449567	0.19875992405854187
Ordnung	17	7.29	1.93	17	3.47	2.53	25	5.04	3.09	7	4	710130	0.17144214374975544
Scheinwerfer	28	4.50	1.77	24	2.92	2.30	29	8.62	2.80	12	3	61123	0.1304961566923601
Liste	27	5.00	1.47	24	1.50	1.84	24	7.42	3.08	5	3	679705	0.20970983384118638
Tango	32	6.09	2.72	25	5.08	3.13	21	8.62	2.16	5	3	6665	0.11005316822645254
Diskussion	21	5.71	1.90	29	6.45	2.49	20	6.55	2.63	10	4	1166129	0.3222346591589118
Stock	24	4.17	1.27	16	2.94	2.26	22	8.45	2.28	5	3	150737	0.12005980744605818
Freund	18	8.78	1.59	22	5.45	2.46	26	6.62	2.43	6	4	2177517	0.3872382807876728
Bauer	20	5.35	2.21	28	1.64	1.99	27	9.30	0.99	5	3	358070	0.2158073476270685
Entschädigung	25	5.64	2.55	20	4.25	2.67	24	5.04	2.48	13	1	86635	0.2743474839576922
Beeinträchtigung	18	3.22	2.29	25	3.92	2.27	32	3.81	2.90	16	1	101431	0.30223300776193807
Ertrag	31	6.58	2.47	32	3.69	2.84	16	6.19	2.83	6	4	120360	0.14400657826965085
Grad	19	5.21	1.81	31	1.97	2.14	13	4.15	2.58	4	1	593670	0.1732609201025184
Hemd	32	5.59	1.62	21	1.43	2.06	23	7.87	3.42	4	3	91737	0.1025704527788009
Gier	29	2.28	2.79	22	5.91	1.87	21	4.67	2.74	4	2	47799	0.20079358256368293
